"USERID","CUST_PROD_ID","GRADEID","SUBTESTID","DATETIMESTAMP"
"5594588","5001","10002","2001",
"5594590","5001","10004","2001",
"5594494","5001","10006","2002",
"5594489","5001","10003","2001",
"5594489","5001","10002","2001",
"5594488","5001","10003","2001",
"5593303","5001","10005","2002",
"5593300","5001","10004","2002",
"5593299","5001","10002","2001",
"5593633","5001","10002","2002",
"5593271","5001","10005","2001",
"5593272","5001","10005","2001",
"5593173","5001","10002","2001",
"5593172","5001","10004","2001",
"5593267","5001","10003","2002",
"5593165","5001","10003","2002",
"5593165","5001","10003","2001",
"5593156","5001","10002","2001",
"5593162","5001","10002","2001",
"5593148","5001","10006","2001",
"5593149","5001","10006","2002",
"5593507","5001","10006","2001",
"5593415","5001","10006","2001",
"5593516","5001","10006","2001",
"5593413","5001","10004","2002",
"5593413","5001","10005","2002",
"5588135","5001","10004","2001",
"5588135","5001","10003","2001",
"5590524","5001","10003","2001",
"5590520","5001","10002","2001",
"5590507","5001","10003","2002",
"5590805","5001","10003","2001",
"5590506","5001","10003","2001",
"5590800","5001","10002","2001",
"5590798","5001","10002","2001",
"5590795","5001","10003","2001",
"5590795","5001","10002","2001",
"5590794","5001","10002","2001",
"5597617","5001","10003","2001",
"5597512","5001","10005","2002",
"5597506","5001","10005","2001",
"5597505","5001","10004","2001",
"5597505","5001","10004","2002",
"5597497","5001","10003","2001",
"5597386","5001","10004","2002",
"5597158","5001","10002","2002",
"5597043","5001","10002","2001",
"5597138","5001","10004","2002",
"5597039","5001","10003","2001",
"5597039","5001","10003","2002",
"5597037","5001","10001","2001",
"5597037","5001","10002","2002",
"5597761","5001","10005","2001",
"5597750","5001","10004","2001",
"5597739","5001","10004","2002",
"5597738","5001","10004","2001",
"5597641","5001","10003","2002",
"5597637","5001","10004","2002",
"5597642","5001","10002","2002",
"5597631","5001","10004","2001",
"5597625","5001","10002","2001",
"5597628","5001","10003","2001",
"5597996","5001","10002","2001",
"5597995","5001","10002","2001",
"5597993","5001","10006","2002",
"5597992","5001","10004","2001",
"5597981","5001","10003","2002",
"5597978","5001","10006","2002",
"5589724","5001","10006","2002",
"5589717","5001","10002","2002",
"5589716","5001","10002","2001",
"5589709","5001","10003","2001",
"5589707","5001","10003","2002",
"5589689","5001","10002","2001",
"5589690","5001","10002","2001",
"5589681","5001","10002","2001",
"5589733","5001","10003","2002",
"5589812","5001","10006","2001",
"5589810","5001","10006","2002",
"5589804","5001","10006","2002",
"5589801","5001","10003","2001",
"5589799","5001","10002","2001",
"5598120","5001","10005","2001",
"5598117","5001","10005","2001",
"5598114","5001","10005","2001",
"5598360","5001","10004","2002",
"5596571","5001","10004","2001",
"5598343","5001","10002","2001",
"5598347","5001","10002","2001",
"5598240","5001","10002","2001",
"5598338","5001","10002","2001",
"5598245","5001","10002","2001",
"5598235","5001","10002","2002",
"5598231","5001","10002","2002",
"5597032","5001","10006","2001",
"5597030","5001","10003","2002",
"5597028","5001","10003","2001",
"5597024","5001","10003","2002",
"5596920","5001","10005","2001",
"5597020","5001","10005","2002",
"5596912","5001","10002","2001",
"5596915","5001","10002","2001",
"5596910","5001","10002","2002",
"5590361","5001","10005","2002",
"5590378","5001","10003","2002",
"5590378","5001","10003","2001",
"5590376","5001","10003","2001",
"5590375","5001","10003","2002",
"5590357","5001","10005","2001",
"5590374","5001","10003","2002",
"5590356","5001","10003","2002",
"5590372","5001","10004","2001",
"5590372","5001","10005","2001",
"5589753","5001","10003","2002",
"5590368","5001","10006","2001",
"5589749","5001","10003","2002",
"5589745","5001","10002","2002",
"5596908","5001","10006","2002",
"5596907","5001","10003","2001",
"5596905","5001","10005","2002",
"5596797","5001","10003","2001",
"5596901","5001","10006","2002",
"5596900","5001","10003","2001",
"5596896","5001","10003","2002",
"5596792","5001","10004","2001",
"5596790","5001","10002","2002",
"5596784","5001","10002","2002",
"5596810","5001","10004","2001",
"5596825","5001","10003","2001",
"5596701","5001","10003","2001",
"5596819","5001","10003","2001",
"5596697","5001","10002","2001",
"5596695","5001","10002","2001",
"5596691","5001","10002","2001",
"5596690","5001","10002","2001",
"5596690","5001","10002","2002",
"5596686","5001","10002","2002",
"5596591","5001","10002","2001",
"5596587","5001","10002","2002",
"5596944","5001","10006","2002",
"5596927","5001","10005","2002",
"5596938","5001","10006","2001",
"5596935","5001","10006","2001",
"5596832","5001","10006","2002",
"5596932","5001","10006","2001",
"5596830","5001","10006","2001",
"5590385","5001","10002","2001",
"5597333","5001","10005","2002",
"5597332","5001","10006","2001",
"5597335","5001","10004","2001",
"5597330","5001","10002","2001",
"5597330","5001","10002","2002",
"5597326","5001","10003","2002",
"5597688","5001","10002","2001",
"5597690","5001","10003","2002",
"5597689","5001","10002","2002",
"5597685","5001","10003","2001",
"5597683","5001","10003","2001",
"5597680","5001","10003","2001",
"5597676","5001","10002","2001",
"5596615","5001","10006","2001",
"5596612","5001","10006","2002",
"5598037","5001","10005","2002",
"5598046","5001","10002","2002",
"5597945","5001","10003","2001",
"5597944","5001","10004","2002",
"5597943","5001","10005","2002",
"5598043","5001","10004","2001",
"5597941","5001","10002","2001",
"5598042","5001","10006","2001",
"5597935","5001","10002","2002",
"5595725","5001","10005","2002",
"5595835","5001","10005","2001",
"5595831","5001","10006","2002",
"5595715","5001","10006","2001",
"5595713","5001","10005","2001",
"5595821","5001","10006","2002",
"5595820","5001","10005","2002",
"5595580","5001","10006","2002",
"5595598","5001","10006","2001",
"5595578","5001","10005","2001",
"5595589","5001","10005","2001",
"5595587","5001","10006","2001",
"5595474","5001","10002","2002",
"5595467","5001","10002","2002",
"5595365","5001","10004","2001",
"5595364","5001","10003","2001",
"5595363","5001","10002","2002",
"5595362","5001","10002","2001",
"5595349","5001","10002","2001",
"5595345","5001","10004","2001",
"5596070","5001","10004","2002",
"5596069","5001","10003","2001",
"5596080","5001","10002","2002",
"5596058","5001","10004","2001",
"5595955","5001","10004","2001",
"5595954","5001","10003","2001",
"5595961","5001","10002","2002",
"5595945","5001","10004","2002",
"5595845","5001","10003","2001",
"5595702","5001","10004","2002",
"5595708","5001","10004","2002",
"5595706","5001","10003","2001",
"5595699","5001","10003","2002",
"5595243","5001","10003","2002",
"5595242","5001","10004","2002",
"5595342","5001","10002","2001",
"5595240","5001","10004","2001",
"5595341","5001","10004","2001",
"5595239","5001","10002","2001",
"5595339","5001","10003","2001",
"5595338","5001","10004","2002",
"5595232","5001","10004","2002",
"5595225","5001","10004","2002",
"5595224","5001","10003","2002",
"5595230","5001","10002","2001",
"5595227","5001","10003","2002",
"5598334","5001","10006","2001",
"5598445","5001","10006","2002",
"5598431","5001","10005","2002",
"5598430","5001","10005","2001",
"5598309","5001","10004","2001",
"5598307","5001","10003","2002",
"5598314","5001","10004","2002",
"5598197","5001","10004","2001",
"5598082","5001","10003","2001",
"5597973","5001","10003","2001",
"5597958","5001","10002","2002",
"5597950","5001","10004","2002",
"5597948","5001","10003","2002",
"5597954","5001","10002","2001",
"5596666","5001","10006","2001",
"5596666","5001","10005","2002",
"5596563","5001","10006","2002",
"5596665","5001","10005","2001",
"5596555","5001","10005","2001",
"5596542","5001","10002","2002",
"5596538","5001","10002","2001",
"5598449","5001","10004","2001",
"5598330","5001","10002","2001",
"5598330","5001","10002","2002",
"5598322","5001","10003","2002",
"5598321","5001","10003","2002",
"5598328","5001","10003","2001",
"5598319","5001","10003","2002",
"5598318","5001","10003","2002",
"5598210","5001","10002","2002",
"5598209","5001","10003","2001",
"5598202","5001","10002","2002",
"5598200","5001","10003","2001",
"5598071","5001","10002","2002",
"5597947","5001","10003","2001",
"5597850","5001","10003","2001",
"5597850","5001","10003","2002",
"5597728","5001","10002","2002",
"5597612","5001","10003","2001",
"5597608","5001","10002","2002",
"5597609","5001","10002","2002",
"5597842","5001","10005","2001",
"5597837","5001","10005","2001",
"5597711","5001","10004","2001",
"5597711","5001","10005","2001",
"5597721","5001","10005","2002",
"5597615","5001","10005","2001",
"5597713","5001","10004","2002",
"5597601","5001","10002","2002",
"5597600","5001","10002","2001",
"5597604","5001","10002","2002",
"5597479","5001","10003","2001",
"5597479","5001","10003","2002",
"5597477","5001","10002","2001",
"5597477","5001","10002","2002",
"5597473","5001","10002","2001",
"5597467","5001","10002","2002",
"5597373","5001","10003","2001",
"5597368","5001","10002","2002",
"5597372","5001","10002","2001",
"5597370","5001","10002","2001",
"5597366","5001","10002","2001",
"5597364","5001","10003","2002",
"5597361","5001","10002","2002",
"5597359","5001","10002","2001",
"5590228","5001","10006","2002",
"5590202","5001","10006","2001",
"5590201","5001","10006","2002",
"5590190","5001","10005","2001",
"5590188","5001","10006","2002",
"5590197","5001","10006","2001",
"5590197","5001","10006","2002",
"5590186","5001","10005","2001",
"5590164","5001","10006","2001",
"5590164","5001","10005","2002",
"5590158","5001","10005","2001",
"5590150","5001","10002","2002",
"5590145","5001","10002","2002",
"5590141","5001","10002","2001",
"5590142","5001","10002","2001",
"5590142","5001","10002","2002",
"5590137","5001","10002","2001",
"5597595","5001","10002","2002",
"5597592","5001","10002","2002",
"5597494","5001","10004","2002",
"5590127","5001","10002","2001",
"5590123","5001","10002","2001",
"5590123","5001","10002","2002",
"5590124","5001","10002","2001",
"5590119","5001","10002","2001",
"5590118","5001","10002","2002",
"5590257","5001","10003","2002",
"5590246","5001","10003","2002",
"5590254","5001","10004","2001",
"5590251","5001","10004","2001",
"5590212","5001","10003","2001",
"5590216","5001","10004","2002",
"5590215","5001","10003","2002",
"5590183","5001","10004","2002",
"5590182","5001","10003","2002",
"5590180","5001","10004","2002",
"5590166","5001","10003","2001",
"5590171","5001","10003","2002",
"5590082","5001","10004","2001",
"5595220","5001","10003","2002",
"5595220","5001","10002","2002",
"5590080","5001","10002","2001",
"5590080","5001","10002","2002",
"5590077","5001","10002","2001",
"5590076","5001","10004","2002",
"5596193","5001","10005","2001",
"5596179","5001","10003","2001",
"5596178","5001","10003","2001",
"5599290","5001","10003","2001",
"5599283","5001","10006","2002",
"5599282","5001","10004","2001",
"5599864","5001","10003","2001",
"5599384","5001","10005","2001",
"5599832","5001","10006","2002",
"5599829","5001","10006","2001",
"5595775","5001","10004","2002",
"5595774","5001","10004","2001",
"5595877","5001","10006","2002",
"5595778","5001","10004","2002",
"5596137","5001","10006","2002",
"5596129","5001","10005","2001",
"5596120","5001","10003","2002",
"5596128","5001","10002","2002",
"5596116","5001","10003","2001",
"5596025","5001","10002","2001",
"5596485","5001","10002","2002",
"5595416","5001","10005","2001",
"5595410","5001","10002","2001",
"5595305","5001","10002","2001",
"5595304","5001","10002","2001",
"5595405","5001","10004","2002",
"5594725","5001","10006","2002",
"5594724","5001","10004","2002",
"5594713","5001","10003","2001",
"5594713","5001","10003","2002",
"5594706","5001","10002","2001",
"5594710","5001","10003","2001",
"5594709","5001","10002","2001",
"5596502","5001","10002","2002",
"5595809","5001","10002","2002",
"5595803","5001","10003","2002",
"5595806","5001","10004","2001",
"5595805","5001","10003","2002",
"5594926","5001","10004","2002",
"5594921","5001","10004","2002",
"5594920","5001","10002","2002",
"5594831","5001","10003","2002",
"5594918","5001","10003","2002",
"5594852","5001","10002","2002",
"5594916","5001","10004","2002",
"5598633","5001","10006","2001",
"5596052","5001","10002","2002",
"5596152","5001","10004","2001",
"5596051","5001","10003","2002",
"5596149","5001","10004","2001",
"5596148","5001","10003","2002",
"5596055","5001","10001","2001",
"5596045","5001","10002","2001",
"5596044","5001","10004","2002",
"5599070","5001","10006","2002",
"5599067","5001","10004","2001",
"5599066","5001","10003","2001",
"5599062","5001","10004","2002",
"5599059","5001","10003","2002",
"5598959","5001","10002","2001",
"5598952","5001","10004","2001",
"5598951","5001","10002","2001",
"5598735","5001","10003","2002",
"5598734","5001","10002","2001",
"5598729","5001","10002","2001",
"5596291","5001","10004","2002",
"5596282","5001","10002","2001",
"5596275","5001","10004","2001",
"5596269","5001","10003","2002",
"5596267","5001","10002","2001",
"5596173","5001","10004","2001",
"5596172","5001","10004","2001",
"5596171","5001","10004","2002",
"5596170","5001","10006","2002",
"5596160","5001","10002","2002",
"5598864","5001","10002","2001",
"5598862","5001","10002","2001",
"5599715","5001","10002","2002",
"5599707","5001","10002","2001",
"5599706","5001","10002","2001",
"5599710","5001","10003","2002",
"5599700","5001","10006","2002",
"5599704","5001","10006","2002",
"5599698","5001","10006","2001",
"5599696","5001","10006","2001",
"5599120","5001","10005","2002",
"5599118","5001","10005","2001",
"5599019","5001","10006","2002",
"5599010","5001","10002","2001",
"5599009","5001","10003","2001",
"5599013","5001","10002","2001",
"5598847","5001","10005","2001",
"5599224","5001","10005","2002",
"5599229","5001","10004","2002",
"5599938","5001","10002","2001",
"5599936","5001","10003","2002",
"5599936","5001","10002","2001",
"5599935","5001","10003","2001",
"5599933","5001","10002","2001",
"5599929","5001","10006","2002",
"5598764","5001","10005","2002",
"5598766","5001","10005","2002",
"5598763","5001","10006","2001",
"5599247","5001","10004","2001",
"5599238","5001","10006","2002",
"5599145","5001","10003","2001",
"5599145","5001","10002","2002",
"5599142","5001","10002","2001",
"5599139","5001","10002","2002",
"5597582","5001","10006","2001",
"5597580","5001","10006","2001",
"5597579","5001","10006","2002",
"5597569","5001","10004","2001",
"5597583","5001","10004","2001",
"5599822","5001","10002","2001",
"5599828","5001","10004","2002",
"5599819","5001","10004","2002",
"5599817","5001","10002","2002",
"5599825","5001","10004","2002",
"5599825","5001","10003","2001",
"5599809","5001","10003","2002",
"5599809","5001","10003","2001",
"5599807","5001","10004","2001",
"5599344","5001","10005","2001",
"5599352","5001","10005","2001",
"5599348","5001","10006","2002",
"5599337","5001","10006","2002",
"5599337","5001","10005","2002",
"5599346","5001","10006","2002",
"5599573","5001","10004","2002",
"5599567","5001","10002","2001",
"5592680","5001","10004","2001",
"5592679","5001","10002","2002",
"5592676","5001","10003","2002",
"5592674","5001","10006","2002",
"5591978","5001","10003","2002",
"5591977","5001","10003","2002",
"5591976","5001","10002","2001",
"5591976","5001","10002","2002",
"5591984","5001","10002","2001",
"5591984","5001","10002","2002",
"5591983","5001","10001","2001",
"5591983","5001","10002","2002",
"5591982","5001","10003","2001",
"5591982","5001","10002","2001",
"5591981","5001","10003","2001",
"5591068","5001","10006","2002",
"5591063","5001","10005","2002",
"5591053","5001","10004","2001",
"5590949","5001","10002","2002",
"5590948","5001","10003","2002",
"5590944","5001","10002","2001",
"5590946","5001","10003","2001",
"5591072","5001","10003","2001",
"5596824","5001","10004","2002",
"5596704","5001","10003","2001",
"5593082","5001","10002","2001",
"5593078","5001","10002","2001",
"5593079","5001","10003","2002",
"5593073","5001","10006","2002",
"5598915","5001","10002","2002",
"5593562","5001","10002","2002",
"5593558","5001","10005","2002",
"5593551","5001","10004","2002",
"5593537","5001","10003","2002",
"5593537","5001","10003","2001",
"5593444","5001","10003","2002",
"5593542","5001","10003","2002",
"5593542","5001","10003","2001",
"5594138","5001","10006","2001",
"5594036","5001","10001","2001",
"5594035","5001","10004","2001",
"5594040","5001","10002","2001",
"5594037","5001","10001","2002",
"5594030","5001","10004","2001",
"5594022","5001","10001","2002",
"5594016","5001","10004","2001",
"5594501","5001","10003","2001",
"5594405","5001","10004","2001",
"5594404","5001","10004","2002",
"5594402","5001","10004","2001",
"5594402","5001","10004","2002",
"5594512","5001","10003","2001",
"5594512","5001","10003","2002",
"5594396","5001","10003","2002",
"5594388","5001","10002","2001",
"5594387","5001","10002","2002",
"5594391","5001","10002","2002",
"5594386","5001","10002","2002",
"5594390","5001","10002","2001",
"5594379","5001","10002","2001",
"5594378","5001","10002","2002",
"5594638","5001","10002","2001",
"5594302","5001","10005","2001",
"5594286","5001","10003","2002",
"5594286","5001","10002","2002",
"5594315","5001","10002","2001",
"5594310","5001","10003","2002",
"5594313","5001","10002","2001",
"5592968","5001","10001","2001",
"5592966","5001","10003","2002",
"5592874","5001","10004","2001",
"5593333","5001","10002","2001",
"5593339","5001","10003","2002",
"5593228","5001","10004","2001",
"5593234","5001","10005","2002",
"5593224","5001","10006","2001",
"5596498","5001","10006","2002",
"5596489","5001","10003","2001",
"5594051","5001","10006","2001",
"5589413","5001","10003","2002",
"5589412","5001","10002","2002",
"5589410","5001","10003","2001",
"5589408","5001","10002","2002",
"5589407","5001","10002","2002",
"5589407","5001","10002","2001",
"5589406","5001","10003","2002",
"5589403","5001","10003","2001",
"5589403","5001","10003","2002",
"5589400","5001","10003","2002",
"5589399","5001","10004","2002",
"5589398","5001","10004","2001",
"5589392","5001","10004","2002",
"5589324","5001","10004","2001",
"5589320","5001","10006","2002",
"5589318","5001","10004","2001",
"5589301","5001","10005","2001",
"5589290","5001","10002","2001",
"5589289","5001","10002","2001",
"5589252","5001","10002","2001",
"5589245","5001","10003","2002",
"5589250","5001","10002","2001",
"5589249","5001","10003","2002",
"5589249","5001","10002","2002",
"5589240","5001","10002","2001",
"5589235","5001","10002","2002",
"5589234","5001","10003","2001",
"5589228","5001","10003","2001",
"5589223","5001","10004","2002",
"5589207","5001","10004","2001",
"5589218","5001","10004","2001",
"5589206","5001","10004","2001",
"5589205","5001","10006","2002",
"5589215","5001","10006","2001",
"5589377","5001","10002","2001",
"5589370","5001","10002","2002",
"5589375","5001","10002","2002",
"5589373","5001","10003","2001",
"5589361","5001","10003","2002",
"5589359","5001","10002","2002",
"5589362","5001","10003","2001",
"5589341","5001","10002","2001",
"5589341","5001","10002","2002",
"5589340","5001","10003","2001",
"5589340","5001","10003","2002",
"5589335","5001","10002","2002",
"5589295","5001","10003","2002",
"5589299","5001","10001","2001",
"5589291","5001","10002","2002",
"5589278","5001","10004","2002",
"5589277","5001","10005","2002",
"5589275","5001","10006","2002",
"5589273","5001","10005","2001",
"5589269","5001","10006","2002",
"5589255","5001","10006","2002",
"5589255","5001","10005","2002",
"5589267","5001","10005","2001",
"5589349","5001","10002","2002",
"5589355","5001","10003","2002",
"5589353","5001","10003","2001",
"5589347","5001","10003","2001",
"5589347","5001","10002","2002",
"5589334","5001","10003","2001",
"5589327","5001","10003","2002",
"5589182","5001","10003","2002",
"5589180","5001","10002","2001",
"5589934","5001","10002","2001",
"5589933","5001","10003","2001",
"5589932","5001","10003","2001",
"5589930","5001","10006","2002",
"5589928","5001","10004","2002",
"5589918","5001","10004","2002",
"5589925","5001","10005","2001",
"5589915","5001","10003","2001",
"5589910","5001","10002","2001",
"5589913","5001","10002","2002",
"5588670","5001","10006","2002",
"5588674","5001","10004","2001",
"5588672","5001","10006","2001",
"5588654","5001","10002","2002",
"5587996","5001","10002","2002",
"5587992","5001","10004","2001",
"5587977","5001","10003","2001",
"5587976","5001","10004","2002",
"5587971","5001","10004","2001",
"5587969","5001","10003","2001",
"5587968","5001","10003","2001",
"5587955","5001","10003","2001",
"5587955","5001","10003","2002",
"5587949","5001","10006","2002",
"5588034","5001","10002","2001",
"5588027","5001","10002","2001",
"5588026","5001","10005","2002",
"5588006","5001","10002","2002",
"5588005","5001","10002","2001",
"5587894","5001","10002","2002",
"5587892","5001","10002","2001",
"5587890","5001","10003","2001",
"5587890","5001","10002","2001",
"5587890","5001","10002","2002",
"5587887","5001","10003","2002",
"5587875","5001","10004","2001",
"5587872","5001","10006","2001",
"5587859","5001","10004","2001",
"5587858","5001","10004","2001",
"5587868","5001","10006","2002",
"5587867","5001","10004","2001",
"5587854","5001","10003","2002",
"5587847","5001","10003","2002",
"5587846","5001","10003","2001",
"5587845","5001","10003","2002",
"5587840","5001","10002","2001",
"5587840","5001","10002","2002",
"5587884","5001","10002","2002",
"5587879","5001","10003","2002",
"5588823","5001","10004","2001",
"5588844","5001","10003","2001",
"5588849","5001","10002","2002",
"5588842","5001","10003","2002",
"5588846","5001","10002","2002",
"5588833","5001","10004","2002",
"5588902","5001","10005","2002",
"5588899","5001","10004","2001",
"5588890","5001","10006","2001",
"5590591","5001","10002","2001",
"5590594","5001","10002","2002",
"5590593","5001","10002","2001",
"5590592","5001","10003","2002",
"5590583","5001","10006","2001",
"5590575","5001","10006","2002",
"5590573","5001","10004","2001",
"5589549","5001","10002","2001",
"5589994","5001","10003","2002",
"5589992","5001","10002","2002",
"5589989","5001","10004","2001",
"5589972","5001","10002","2001",
"5595120","5001","10005","2002",
"5595121","5001","10005","2001",
"5595117","5001","10003","2002",
"5595115","5001","10002","2002",
"5589825","5001","10006","2002",
"5589825","5001","10004","2002",
"5589825","5001","10005","2001",
"5589824","5001","10004","2001",
"5589604","5001","10004","2002",
"5589597","5001","10004","2001",
"5589591","5001","10002","2001",
"5589591","5001","10002","2002",
"5589588","5001","10003","2002",
"5590608","5001","10002","2001",
"5590607","5001","10002","2002",
"5590606","5001","10006","2001",
"5590606","5001","10005","2001",
"5590601","5001","10005","2002",
"5590534","5001","10006","2001",
"5590532","5001","10006","2002",
"5595107","5001","10004","2001",
"5590529","5001","10005","2001",
"5595102","5001","10005","2001",
"5590518","5001","10003","2002",
"5590511","5001","10003","2001",
"5590510","5001","10002","2001",
"5590510","5001","10002","2002",
"5590513","5001","10003","2001",
"5590509","5001","10002","2001",
"5590507","5001","10003","2001",
"5590802","5001","10002","2001",
"5590797","5001","10003","2002",
"5589673","5001","10003","2002",
"5589669","5001","10003","2001",
"5597623","5001","10004","2001",
"5597620","5001","10003","2001",
"5597525","5001","10004","2002",
"5597517","5001","10005","2002",
"5597516","5001","10005","2001",
"5597507","5001","10005","2001",
"5597503","5001","10003","2002",
"5597498","5001","10002","2002",
"5597401","5001","10003","2002",
"5597385","5001","10002","2001",
"5597157","5001","10002","2001",
"5597159","5001","10002","2001",
"5597149","5001","10005","2002",
"5597147","5001","10004","2002",
"5597145","5001","10005","2001",
"5597136","5001","10004","2001",
"5597142","5001","10005","2001",
"5597044","5001","10004","2002",
"5597037","5001","10001","2002",
